Aggregate Recent Diagnosis,Aggregate Recent Diagnosis,Aggregate Recent Diagnosis,Aggregate Recent Fatalities,Aggregate Recent Fatalities,Aggregate Recent Fatalities
sum,mean,std,sum,mean,std
231053.0,1161.070351758794,1977.3967620641022,7998.0,40.19095477386934,94.05523693308281
327824.0,2521.723076923077,2813.4410942716027,3605.0,27.73076923076923,30.524304323644415
266810.0,2403.6936936936936,2453.310960510279,6881.0,61.990990990990994,50.26321544818663
5772.0,524.7272727272727,632.8151532492077,34.0,3.090909090909091,1.9725387425622571
34226.0,561.0819672131148,748.4561509107034,159.0,2.6065573770491803,2.4377495668791886
101379.0,921.6272727272727,1442.6527544393962,1937.0,17.60909090909091,19.0109072770409
818.0,74.36363636363636,44.34472398667676,12.0,1.0909090909090908,0.30151134457776363
6711.0,145.8913043478261,181.15422873720604,146.0,3.1739130434782608,3.5919932431641906
10100593.0,54894.52717391304,103396.64398301368,130667.0,710.1467391304348,1014.4706742147689
447858.0,2834.5443037974683,3866.4808792679178,8777.0,55.550632911392405,72.29835101927584
29022.0,318.9230769230769,534.190420288688,292.0,3.208791208791209,4.990026683332094
11633836.0,64275.33701657459,110810.96588546249,24892.0,137.52486187845304,178.22172735296687
6080700.0,35352.90697674418,56080.91232440405,22534.0,131.01162790697674,173.61424566189731
833342.0,4604.099447513812,7830.60176636436,10353.0,57.19889502762431,75.94774664856409
32148.0,338.4,418.2262545560716,849.0,8.936842105263159,11.212465067965029
670235.0,5728.504273504273,8014.934951038475,1536.0,13.128205128205128,23.860419708111063
2043386.0,11743.597701149425,19284.754816546927,29499.0,169.5344827586207,310.35418227767667
103575.0,1204.360465116279,1146.3364244182494,593.0,6.895348837209302,7.506905165978765
993943.0,8874.49107142857,8085.426971733459,7118.0,63.55357142857143,30.269015848939013
4801516.0,27754.42774566474,46873.52999173133,34339.0,198.49132947976878,319.05869217479716
60094.0,690.735632183908,998.3338265815595,688.0,7.908045977011494,7.922050744463931
22839.0,466.1020408163265,812.482031721778,163.0,3.326530612244898,2.5280736663683347
11458.0,194.20338983050848,228.71174295960688,165.0,2.7966101694915255,3.703584754675829
46419.0,3570.6923076923076,3714.2328141132857,21.0,1.6153846153846154,0.9607689228305228
1197820.0,7303.780487804878,11073.154382381683,22387.0,136.5060975609756,206.84502651324863
403486.0,2079.824742268041,3093.6577074033835,16396.0,84.51546391752578,120.21204179610649
324854.0,2824.817391304348,4868.230228130224,2800.0,24.347826086956523,39.61659307647532
37511837.0,227344.46666666667,203906.68053286854,702116.0,4255.248484848485,4618.809174222158
4980.0,292.94117647058823,335.96939417680505,64.0,3.764705882352941,3.783672352435955
258889.0,4109.349206349207,5844.1582802932635,178.0,2.8253968253968256,2.5307125258268384
1331187.0,6279.183962264151,10149.185107209598,38707.0,182.58018867924528,276.71423174666864
19369.0,239.12345679012347,341.9238359165696,400.0,4.938271604938271,5.464306175106647
5403.0,600.3333333333334,550.3496615788912,14.0,1.5555555555555556,0.726483157256779
58490.0,615.6842105263158,955.5129319093031,417.0,4.389473684210526,3.7196852327425627
131984.0,2538.153846153846,2035.6361185732135,3056.0,58.76923076923077,58.70117591921512
120223.0,1045.4173913043478,1376.267301037635,1974.0,17.16521739130435,23.478220753136906
4818966.0,21043.51965065502,34580.36696488554,55282.0,241.4061135371179,258.2978291797126
13808.0,600.3478260869565,653.3523070703509,36.0,1.565217391304348,0.787752092782872
12036.0,354.0,315.73166589445043,113.0,3.323529411764706,4.422535870901644
6135.0,115.75471698113208,123.22304755392172,194.0,3.660377358490566,4.358649209535586
5401026.0,23381.064935064936,36171.12699125513,62742.0,271.61038961038963,849.0478424965864
96052137.0,480260.685,3467032.6959299934,122326.0,611.63,3720.7287532655323
6365798.0,39053.975460122696,50687.818174422784,142727.0,875.6257668711656,1105.6413036868648
5530.0,251.36363636363637,325.95567116879494,160.0,7.2727272727272725,8.92925538505881
21856.0,280.20512820512823,278.1220585532177,389.0,4.987179487179487,6.13589310118618
1059.0,529.5,720.541810029092,2.0,1.0,0.0
1213388.0,7490.049382716049,7151.587035615309,9374.0,57.864197530864196,55.3886893596461
1319890.0,6345.625,10434.214105701645,18755.0,90.16826923076923,122.21516447604954
1103091.0,10406.518867924528,17161.438363089408,8530.0,80.47169811320755,160.7577418736872
688295.0,4025.1169590643276,5865.283744031896,1481.0,8.660818713450292,7.962532661445661
4763345.0,22258.6214953271,40567.62468963825,43525.0,203.38785046728972,360.72225935793955
82619.0,744.3153153153153,1042.7285097890751,835.0,7.5225225225225225,9.929613053750655
80414.0,670.1166666666667,875.7887219153795,1474.0,12.283333333333333,22.19099042454862
3433484.0,15059.140350877193,47416.15442212557,9808.0,43.01754385964912,54.82619433382392
11004.0,282.15384615384613,356.05126319715737,189.0,4.846153846153846,5.636060874958221
9961.0,368.9259259259259,207.91342982595978,74.0,2.740740740740741,1.788695110808491
598669.0,5393.414414414415,6327.598368860696,4384.0,39.4954954954955,37.78260154522157
1066383.0,5990.9157303370785,8189.569220728715,36052.0,202.53932584269663,737.2855245916769
515842.0,3393.6973684210525,3627.3353765950096,24830.0,163.35526315789474,157.52209591226418
201766.0,1903.4528301886792,2248.489177974425,4012.0,37.84905660377358,25.477830681680587
10910.0,247.95454545454547,257.10435439452556,183.0,4.159090909090909,7.2719377214124625
6403.0,173.05405405405406,141.32447809246673,103.0,2.7837837837837838,1.6009569210516137
605855.0,3462.0285714285715,7318.967765631394,2998.0,17.13142857142857,19.2685165673457
66157.0,648.5980392156863,1222.579396760086,1427.0,13.990196078431373,22.842766516763906
